rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,x_pos,y_pos,,,,,,,,,
-59,-76,-64,-53,-44,-69,-64,-63,3.5,4,,,,,,,,,
-63,-60,-62,-56,-44,-64,-62,-58,3.5,4,,,,,,,,,
-60,-57,-72,-62,-43,-63,-62,-62,3.5,4,,,,,,,,,
-64,-83,-61,-53,-44,-64,-60,-57,3.5,4,,,,,,,,,
-64,-58,-65,-61,-45,-64,-62,-62,3.5,4,,,,,,,,,
-65,-65,-62,-53,-45,-63,-62,-61,3.5,4,,,,,,,,,
-64,-67,-61,-53,-42,-69,-63,-65,3.5,4,,,,,,,,,
-66,-57,-65,-61,-42,-64,-62,-60,3.5,4,,,,,,,,,
-62,-77,-74,-56,-45,-65,-62,-61,3.5,4,,,,,,,,,
-63,-80,-73,-56,-45,-70,-62,-65,3.5,4,,,,,,,,,
-64,-84,-74,-55,-44,-70,-63,-65,3.5,4,,,,,,,,,
-69,-56,-64,-56,-43,-64,-62,-64,3.5,4,,,,,,,,,
-61,-66,-61,-53,-45,-72,-62,-62,3.5,4,,,,,,,,,
-69,-77,-77,-60,-44,-64,-63,-63,3.5,4,,,,,,,,,
-61,-56,-63,-53,-42,-72,-62,-58,3.5,4,,,,,,,,,
-60,-56,-62,-59,-42,-68,-62,-58,3.5,4,,,,,,,,,
-63,-81,-65,-61,-43,-65,-64,-64,3.5,4,,,,,,,,,
-68,-58,-62,-53,-45,-68,-61,-59,3.5,4,,,,,,,,,
-63,-65,-76,-62,-44,-60,-64,-64,3.5,4,,,,,,,,,
-71,-59,-62,-53,-42,-62,-62,-64,3.5,4,,,,,,,,,
-70,-57,-62,-53,-42,-70,-62,-60,3.5,4,,,,,,,,,
-63,-77,-64,-61,-42,-65,-62,-60,3.5,4,,,,,,,,,
-62,-65,-62,-53,-44,-63,-62,-59,3.5,4,,,,,,,,,
-63,-74,-75,-56,-45,-63,-61,-64,3.5,4,,,,,,,,,
-64,-57,-66,-57,-42,-67,-62,-63,3.5,4,,,,,,,,,
-67,-67,-73,-54,-42,-70,-62,-62,3.5,4,,,,,,,,,
-63,-77,-64,-56,-42,-63,-62,-63,3.5,4,,,,,,,,,
-67,-65,-62,-61,-42,-71,-62,-58,3.5,4,,,,,,,,,
-61,-70,-76,-53,-45,-63,-62,-58,3.5,4,,,,,,,,,
-61,-74,-75,-57,-45,-64,-61,-58,3.5,4,,,,,,,,,
-63,-59,-62,-60,-45,-70,-62,-62,3.5,4,,,,,,,,,
-62,-56,-64,-61,-38,-72,-61,-62,3.5,4,,,,,,,,,
-63,-67,-62,-60,-41,-72,-62,-63,3.5,4,,,,,,,,,
-63,-70,-74,-53,-45,-64,-61,-58,3.5,4,,,,,,,,,
-69,-58,-65,-58,-44,-64,-62,-66,3.5,4,,,,,,,,,
-68,-68,-63,-60,-43,-72,-61,-66,3.5,4,,,,,,,,,
-71,-65,-69,-53,-41,-69,-62,-58,3.5,4,,,,,,,,,
-64,-69,-63,-53,-41,-70,-61,-62,3.5,4,,,,,,,,,
-61,-79,-75,-53,-45,-63,-62,-58,3.5,4,,,,,,,,,
-59,-67,-64,-60,-42,-69,-61,-63,3.5,4,,,,,,,,,
-63,-58,-79,-53,-45,-63,-61,-64,3.5,4,,,,,,,,,
-63,-72,-61,-61,-43,-63,-61,-64,3.5,4,,,,,,,,,
-62,-57,-82,-57,-45,-69,-62,-58,3.5,4,,,,,,,,,
-59,-57,-65,-57,-45,-63,-61,-63,3.5,4,,,,,,,,,
-63,-71,-62,-61,-43,-68,-63,-64,3.5,4,,,,,,,,,
-63,-57,-78,-53,-43,-69,-59,-65,3.5,4,,,,,,,,,
-63,-68,-65,-57,-45,-64,-62,-61,3.5,4,,,,,,,,,
-59,-67,-62,-61,-43,-64,-61,-66,3.5,4,,,,,,,,,
-63,-58,-78,-53,-42,-71,-62,-58,3.5,4,,,,,,,,,
-64,-66,-62,-61,-43,-64,-61,-66,3.5,4,,,,,,,,,
-64,-67,-78,-53,-41,-71,-62,-57,3.5,4,,,,,,,,,
-60,-67,-61,-57,-42,-63,-61,-62,3.5,4,,,,,,,,,
-67,-67,-83,-61,-41,-66,-60,-66,3.5,4,,,,,,,,,
-65,-68,-65,-58,-45,-71,-57,-62,3.5,4,,,,,,,,,
-60,-67,-83,-53,-41,-66,-62,-57,3.5,4,,,,,,,,,
-66,-56,-63,-61,-42,-68,-60,-64,3.5,4,,,,,,,,,
-59,-65,-75,-53,-41,-65,-60,-63,3.5,4,,,,,,,,,
-62,-71,-74,-58,-45,-69,-62,-64,3.5,4,,,,,,,,,
-59,-58,-61,-60,-45,-64,-60,-62,3.5,4,,,,,,,,,
-62,-66,-74,-57,-45,-70,-61,-64,3.5,4,,,,,,,,,
-66,-71,-64,-60,-42,-70,-60,-58,3.5,4,,,,,,,,,
-59,-58,-61,-58,-44,-71,-60,-64,3.5,4,,,,,,,,,
-66,-69,-63,-61,-43,-62,-61,-59,3.5,4,,,,,,,,,
-59,-65,-61,-62,-44,-69,-62,-64,3.5,4,,,,,,,,,
-66,-71,-63,-60,-45,-81,-61,-65,3.5,4,,,,,,,,,
-66,-59,-64,-52,-41,-63,-60,-59,3.5,4,,,,,,,,,
-59,-67,-62,-53,-43,-62,-62,-62,3.5,4,,,,,,,,,
-61,-64,-61,-52,-45,-63,-62,-57,3.5,4,,,,,,,,,
-54,-67,-69,-58,-45,-74,-61,-57,3.5,4,,,,,,,,,
-58,-67,-61,-53,-42,-73,-61,-63,3.5,4,,,,,,,,,
-58,-68,-70,-58,-41,-73,-61,-61,3.5,4,,,,,,,,,
-59,-77,-70,-61,-42,-64,-59,-57,3.5,4,,,,,,,,,
-63,-56,-63,-52,-41,-70,-61,-61,3.5,4,,,,,,,,,
-58,-67,-72,-58,-42,-63,-61,-62,3.5,4,,,,,,,,,
-60,-74,-73,-58,-45,-69,-62,-66,3.5,4,,,,,,,,,
-62,-74,-62,-52,-45,-65,-61,-65,3.5,4,,,,,,,,,
-63,-69,-61,-61,-41,-63,-62,-58,3.5,4,,,,,,,,,
-60,-69,-61,-53,-45,-63,-60,-58,3.5,4,,,,,,,,,
-60,-56,-73,-53,-45,-62,-60,-62,3.5,4,,,,,,,,,
-63,-56,-75,-53,-49,-64,-61,-62,3.5,4,,,,,,,,,
-61,-68,-64,-53,-42,-63,-61,-63,3.5,4,,,,,,,,,
-64,-65,-67,-74,-46,-66,-74,-64,3.5,3.5,,,,,,,,,
-64,-62,-66,-60,-46,-61,-64,-64,3.5,3.5,,,,,,,,,
-65,-81,-65,-59,-46,-61,-72,-57,3.5,3.5,,,,,,,,,
-65,-65,-60,-59,-46,-67,-60,-58,3.5,3.5,,,,,,,,,
-65,-66,-61,-81,-45,-67,-62,-65,3.5,3.5,,,,,,,,,
-63,-62,-66,-61,-44,-61,-60,-68,3.5,3.5,,,,,,,,,
-65,-75,-68,-59,-43,-61,-71,-58,3.5,3.5,,,,,,,,,
-67,-61,-66,-61,-45,-62,-61,-68,3.5,3.5,,,,,,,,,
-64,-77,-67,-57,-43,-60,-72,-58,3.5,3.5,,,,,,,,,
-65,-66,-61,-73,-45,-67,-61,-65,3.5,3.5,,,,,,,,,
-65,-62,-67,-60,-45,-61,-71,-58,3.5,3.5,,,,,,,,,
-65,-75,-68,-58,-46,-67,-61,-59,3.5,3.5,,,,,,,,,
-66,-62,-66,-59,-48,-66,-62,-59,3.5,3.5,,,,,,,,,
-66,-66,-61,-74,-46,-67,-61,-68,3.5,3.5,,,,,,,,,
-69,-63,-66,-60,-48,-61,-72,-58,3.5,3.5,,,,,,,,,
-66,-67,-61,-58,-46,-66,-62,-63,3.5,3.5,,,,,,,,,
-67,-68,-65,-73,-48,-63,-61,-68,3.5,3.5,,,,,,,,,
-62,-75,-68,-60,-46,-67,-72,-58,3.5,3.5,,,,,,,,,
-67,-67,-61,-57,-44,-62,-72,-58,3.5,3.5,,,,,,,,,
-64,-67,-67,-61,-43,-59,-68,-67,3.5,3.5,,,,,,,,,
-65,-63,-67,-59,-45,-66,-65,-58,3.5,3.5,,,,,,,,,
-62,-74,-67,-61,-44,-59,-68,-70,3.5,3.5,,,,,,,,,
-66,-67,-67,-59,-43,-60,-71,-67,3.5,3.5,,,,,,,,,
-69,-68,-67,-58,-45,-66,-62,-59,3.5,3.5,,,,,,,,,
-64,-63,-61,-75,-45,-62,-62,-66,3.5,3.5,,,,,,,,,
-69,-76,-67,-60,-43,-59,-59,-67,3.5,3.5,,,,,,,,,
-67,-68,-66,-58,-45,-59,-59,-70,3.5,3.5,,,,,,,,,
-71,-68,-68,-58,-45,-66,-69,-68,3.5,3.5,,,,,,,,,
-68,-63,-61,-72,-45,-62,-62,-58,3.5,3.5,,,,,,,,,
-64,-62,-61,-61,-43,-62,-59,-58,3.5,3.5,,,,,,,,,
-64,-71,-61,-62,-43,-59,-56,-65,3.5,3.5,,,,,,,,,
-64,-72,-66,-62,-45,-67,-70,-68,3.5,3.5,,,,,,,,,
-69,-68,-67,-58,-45,-62,-69,-58,3.5,3.5,,,,,,,,,
-70,-62,-68,-57,-45,-62,-61,-67,3.5,3.5,,,,,,,,,
-68,-75,-68,-61,-46,-62,-62,-58,3.5,3.5,,,,,,,,,
-65,-63,-62,-73,-44,-62,-59,-65,3.5,3.5,,,,,,,,,
-66,-72,-67,-80,-46,-65,-62,-66,3.5,3.5,,,,,,,,,
-65,-65,-69,-62,-45,-63,-61,-67,3.5,3.5,,,,,,,,,
-83,-63,-68,-60,-46,-66,-59,-66,3.5,3.5,,,,,,,,,
-65,-67,-68,-60,-45,-63,-67,-67,3.5,3.5,,,,,,,,,
-64,-63,-62,-60,-46,-62,-63,-60,3.5,3.5,,,,,,,,,
-64,-66,-68,-68,-46,-65,-63,-64,3.5,3.5,,,,,,,,,
-65,-66,-68,-60,-44,-63,-69,-67,3.5,3.5,,,,,,,,,
-71,-63,-62,-68,-46,-62,-63,-64,3.5,3.5,,,,,,,,,
-65,-67,-68,-60,-46,-65,-60,-67,3.5,3.5,,,,,,,,,
-70,-63,-62,-60,-45,-62,-69,-59,3.5,3.5,,,,,,,,,
-68,-66,-67,-73,-45,-63,-60,-65,3.5,3.5,,,,,,,,,
-66,-71,-67,-58,-45,-63,-70,-68,3.5,3.5,,,,,,,,,
-73,-63,-61,-71,-38,-62,-63,-66,3.5,3.5,,,,,,,,,
-69,-65,-68,-57,-45,-63,-60,-65,3.5,3.5,,,,,,,,,
-63,-67,-68,-71,-45,-64,-60,-67,3.5,3.5,,,,,,,,,
-65,-68,-68,-58,-45,-63,-67,-66,3.5,3.5,,,,,,,,,
-79,-63,-68,-60,-45,-63,-69,-60,3.5,3.5,,,,,,,,,
-72,-63,-62,-67,-43,-60,-64,-60,3.5,3.5,,,,,,,,,
-63,-71,-69,-59,-45,-65,-65,-65,3.5,3.5,,,,,,,,,
-67,-67,-68,-61,-45,-62,-60,-66,3.5,3.5,,,,,,,,,
-67,-67,-62,-68,-43,-61,-72,-59,3.5,3.5,,,,,,,,,
-64,-66,-66,-59,-46,-67,-62,-64,3.5,3.5,,,,,,,,,
-77,-68,-71,-69,-43,-59,-74,-58,3.5,3.5,,,,,,,,,
-69,-64,-63,-61,-45,-64,-62,-65,3.5,3.5,,,,,,,,,
-69,-68,-68,-63,-48,-61,-61,-67,3.5,3.5,,,,,,,,,
-64,-79,-61,-82,-44,-61,-75,-65,3.5,3.5,,,,,,,,,
-68,-63,-64,-62,-48,-64,-61,-68,3.5,3.5,,,,,,,,,
-66,-71,-63,-63,-46,-60,-61,-68,3.5,3.5,,,,,,,,,
-66,-75,-61,-73,-44,-61,-77,-58,3.5,3.5,,,,,,,,,
-65,-63,-61,-73,-45,-65,-75,-66,3.5,3.5,,,,,,,,,
-70,-67,-64,-63,-45,-62,-62,-68,3.5,3.5,,,,,,,,,
-63,-71,-67,-85,-44,-61,-61,-69,3.5,3.5,,,,,,,,,
-65,-74,-68,-62,-45,-61,-61,-70,3.5,3.5,,,,,,,,,
-64,-68,-68,-64,-45,-63,-61,-69,3.5,3.5,,,,,,,,,
